Date,Latitude,Longitude,Depth.km,Magnitude
2/4/2020,38.98,27.86,6,3.4
2/4/2020,38.98,27.87,10,4.1
2/4/2020,38.42,25.51,15,3.3
2/4/2020,38.4,25.53,17,3.3
2/4/2020,39.08,27.83,9,3.3
2/4/2020,38.98,27.85,12,3.4
2/4/2020,39,27.86,10,3.4
2/4/2020,39,27.85,2,3.3
2/4/2020,39,27.86,7,4
2/4/2020,38.99,27.86,9,3.5
2/3/2020,39,27.85,10,3.9
2/3/2020,38.99,27.86,4,3.1
2/3/2020,38.99,27.86,8,3
2/3/2020,38.99,27.85,2,3.5
2/3/2020,38.99,27.85,6,3
2/3/2020,38.99,27.86,7,3.1
2/2/2020,38.99,27.86,4,3.1
2/2/2020,38.99,27.86,12,3.8
2/2/2020,38.98,27.87,4,3
2/2/2020,39.08,27.87,14,4.6
2/2/2020,39.09,27.82,8,3.7
2/2/2020,39.08,27.82,13,4
2/2/2020,39.07,27.82,6,3
2/2/2020,40.86,28.19,16,3.7
2/2/2020,39,27.85,9,3.2
2/2/2020,39,27.85,13,4.7
2/1/2020,38.96,25.52,19,3.4
2/1/2020,39.08,27.83,13,3.1
2/1/2020,39.08,27.83,7,3.2
2/1/2020,38.98,25.51,10,3.1
1/31/2020,39.02,27.84,7,3.4
1/30/2020,39.02,27.82,6,3.2
1/30/2020,39.09,27.83,8,4
1/30/2020,39.11,27.83,6,3.1
1/30/2020,39.01,27.83,8,3.2
1/30/2020,39.04,27.83,7,3.9
1/30/2020,39.1,27.83,12,3.1
1/29/2020,39.1,27.84,3,3.2
1/29/2020,39.08,27.8,8,3.4
1/29/2020,39,27.86,8,3
1/28/2020,39.01,27.82,9,4.5
1/28/2020,39.05,27.83,4,3.3
1/28/2020,39.1,27.87,10,3.3
1/28/2020,39.1,27.86,10,4.2
1/28/2020,39.01,27.82,8,3.1
1/28/2020,39.09,27.81,8,3.1
1/28/2020,39.05,27.84,5,3.1
1/28/2020,39.08,27.81,8,3.1
1/28/2020,39.09,27.85,12,3.2
1/28/2020,39.06,27.85,15,3.8
1/28/2020,39.09,27.81,12,3.7
1/28/2020,39.02,27.81,10,3.1
1/28/2020,39.1,27.84,10,4.9
1/28/2020,39.01,27.85,7,3.3
1/28/2020,40.12,28.92,5,3
1/28/2020,39.01,27.79,13,3.2
1/28/2020,38.99,27.84,9,3.5
1/27/2020,39.05,27.82,8,3
1/27/2020,39.07,27.81,8,3.6
1/27/2020,39.06,27.83,11,3.1
1/27/2020,39.08,27.83,3,3.2
1/27/2020,39.07,27.82,9,3
1/27/2020,41.24,29.57,2,3.1
1/27/2020,39.05,27.81,8,3.4
1/26/2020,38.98,27.87,3,3.1
1/26/2020,39.03,27.85,5,3
1/26/2020,39.06,27.82,10,3.7
1/26/2020,39.08,27.83,7,3.3
1/26/2020,39.01,27.84,10,3.7
1/26/2020,39.01,27.86,10,3.1
1/25/2020,39.02,27.88,7,3.5
1/25/2020,39.02,27.83,1,3
1/25/2020,39.03,27.85,2,4
1/25/2020,39.03,27.83,12,3.4
1/25/2020,39,27.84,7,3.1
1/25/2020,39.04,27.83,13,4.3
1/25/2020,39.02,27.89,10,3.2
1/25/2020,38.99,27.84,10,3.2
1/25/2020,39,27.84,9,3.4
1/25/2020,39.02,27.83,4,3.6
1/25/2020,39.05,27.8,10,3.4
1/25/2020,39,27.86,10,3.4
1/25/2020,39.02,27.83,6,3.4
1/24/2020,39.02,27.83,7,3
1/24/2020,39.07,27.76,2,3.9
1/24/2020,39.46,27.91,9,3
1/24/2020,39.02,27.84,9,3.1
1/24/2020,39.06,27.84,12,3.2
1/24/2020,39.02,27.77,9,3.2
1/24/2020,39.02,27.88,11,3.4
1/24/2020,39.06,27.83,10,3.1
1/24/2020,39.08,27.82,10,3.9
1/24/2020,39.04,27.85,5,3.9
1/24/2020,39.09,27.84,7,3.1
1/24/2020,38.99,27.85,10,3.1
1/23/2020,39.06,27.81,7,3.2
1/23/2020,39.01,27.84,9,3.1
1/23/2020,39.04,27.84,9,3.6
