Year,City,Population,In-migration,Out-migration,Net-migration
2020,ADANA,2258718,47088,45832,1256
2020,ADIYAMAN,632459,16163,16936,-773
2020,AFYONKARAHISAR,736912,18439,19434,-995
2020,AGRI,535435,14626,24353,-9727
2020,AMASYA,335494,12241,11347,894
2020,ANKARA,5663322,153162,141165,11997
2020,ANTALYA,2548308,83035,62325,20710
2020,ARTVIN,169501,6358,7801,-1443
2020,AYDIN,1119084,35455,30996,4459
2020,BALIKESIR,1240285,40715,31561,9154
2020,BILECIK,218717,8297,8439,-142
2020,BINGOL,281768,9497,10633,-1136
2020,BITLIS,350994,12050,14223,-2173
2020,BOLU,314802,11430,12565,-1135
2020,BURDUR,267092,9201,11422,-2221
2020,BURSA,3101833,77039,53940,23099
2020,CANAKKALE,541548,21055,19022,2033
2020,CANKIRI,192428,9955,12614,-2659
2020,CORUM,530126,15672,15051,621
2020,DENIZLI,1040915,22534,21370,1164
2020,DIYARBAKIR,1783431,39101,42992,-3891
2020,EDIRNE,407763,12252,14264,-2012
2020,ELAZIG,587960,15529,21166,-5637
2020,ERZINCAN,234431,10907,10998,-91
2020,ERZURUM,758279,20405,30220,-9815
2020,ESKISEHIR,888828,25376,25533,-157
2020,GAZIANTEP,2101157,42040,41179,861
2020,GIRESUN,448721,17654,17368,286
2020,GUMUSHANE,141702,7151,19116,-11965
2020,HAKKARI,280514,7227,8421,-1194
2020,HATAY,1659320,35160,29265,5895
2020,ISPARTA,440304,12879,17905,-5026
2020,MERSIN,1868757,53325,40242,13083
2020,ISTANBUL,15462452,328632,381654,-53022
2020,IZMIR,4394694,107172,92400,14772
2020,KARS,284923,8168,12910,-4742
2020,KASTAMONU,376377,14177,15328,-1151
2020,KAYSERI,1421455,31766,30033,1733
2020,KIRKLARELI,361737,13852,11596,2256
2020,KIRSEHIR,243042,9960,10835,-875
2020,KOCAELI,1997258,75093,52543,22550
2020,KONYA,2250020,43788,48780,-4992
2020,KUTAHYA,576688,15347,18688,-3341
2020,MALATYA,806156,24198,23329,869
2020,MANISA,1450616,37003,29833,7170
2020,KAHRAMANMARAS,1168163,25056,23696,1360
2020,MARDIN,854716,25373,24744,629
2020,MUGLA,1000773,41468,28088,13380
2020,MUS,411117,11720,16548,-4828
2020,NEVSEHIR,304962,9309,8958,351
2020,NIGDE,362071,11349,13588,-2239
2020,ORDU,761400,26898,21406,5492
2020,RIZE,344359,13143,13290,-147
2020,SAKARYA,1042649,30929,24888,6041
2020,SAMSUN,1356079,43054,35442,7612
2020,SIIRT,331070,9044,12958,-3914
2020,SINOP,216460,10292,11070,-778
2020,SIVAS,635889,18490,23885,-5395
2020,TEKIRDAG,1081065,50764,28468,22296
2020,TOKAT,597861,24840,41746,-16906
2020,TRABZON,811901,23761,24506,-745
2020,TUNCELI,83443,5791,6311,-520
2020,SANLIURFA,2115256,37720,47194,-9474
2020,USAK,369433,8756,10428,-1672
2020,VAN,1149342,26621,38114,-11493
2020,YOZGAT,419095,14109,17604,-3495
2020,ZONGULDAK,591204,15243,19593,-4350
2020,AKSARAY,423011,12208,12311,-103
2020,BAYBURT,81910,4427,7433,-3006
2020,KARAMAN,254919,8074,8304,-230
2020,KIRIKKALE,278703,8597,13021,-4424
2020,BATMAN,620278,18598,17593,1005
2020,SIRNAK,537762,14461,15008,-547
2020,BARTIN,198979,7585,7441,144
2020,ARDAHAN,96161,4085,5215,-1130
2020,IGDIR,201314,7452,7266,186
2020,YALOVA,276050,14661,10281,4380
2020,KARABUK,243614,8148,12750,-4602
2020,KILIS,142792,5035,6432,-1397
2020,OSMANIYE,548556,17734,14954,2780
2020,DUZCE,395679,11757,10565,1192
2019,ADANA,2237940,52290,60900,-8610
2019,ADIYAMAN,626465,17619,24821,-7202
2019,AFYONKARAHISAR,729483,23818,27006,-3188
2019,AGRI,536199,16342,28158,-11816
2019,AMASYA,337800,13329,14813,-1484
2019,ANKARA,5639076,211744,154464,57280
2019,ANTALYA,2511700,100140,68494,31646
2019,ARTVIN,170875,8403,11676,-3273
2019,AYDIN,1110972,40439,36180,4259
2019,BALIKESIR,1228620,41467,42931,-1464
2019,BILECIK,219427,10565,10582,-17
2019,BINGOL,279812,11266,14879,-3613
2019,BITLIS,348115,12385,19050,-6665
2019,BOLU,316126,15997,15068,929
2019,BURDUR,270796,12134,13603,-1469
2019,BURSA,3056120,85596,68356,17240
2019,CANAKKALE,542157,25198,22293,2905
2019,CANKIRI,195789,11381,32275,-20894
2019,CORUM,530864,16006,23425,-7419
2019,DENIZLI,1037208,26235,27146,-911
2019,DIYARBAKIR,1756353,42329,49730,-7401
2019,EDIRNE,413903,16864,16761,103
2019,ELAZIG,591098,20343,29248,-8905
2019,ERZINCAN,234747,14496,17555,-3059
2019,ERZURUM,762062,26819,40401,-13582
2019,ESKISEHIR,887475,36757,29543,7214
2019,GAZIANTEP,2069364,52268,53517,-1249
2019,GIRESUN,448400,22595,30580,-7985
2019,GUMUSHANE,164521,16158,25477,-9319
2019,HAKKARI,280991,6898,12719,-5821
2019,HATAY,1628894,35244,42067,-6823
2019,ISPARTA,444914,19555,20052,-497
2019,MERSIN,1840425,55429,54452,977
2019,ISTANBUL,15519267,498676,378305,120371
2019,IZMIR,4367251,128370,106895,21475
2019,KARS,285410,11132,16421,-5289
2019,KASTAMONU,379405,17737,22515,-4778
2019,KAYSERI,1407409,40579,39013,1566
2019,KIRKLARELI,361836,15352,14468,884
2019,KIRSEHIR,242938,10853,13028,-2175
2019,KOCAELI,1953035,82977,65675,17302
2019,KONYA,2232374,54219,58557,-4338
2019,KUTAHYA,579257,21212,21456,-244
2019,MALATYA,800165,29880,33272,-3392
2019,MANISA,1440611,40857,37164,3693
2019,KAHRAMANMARAS,1154102,27676,36700,-9024
2019,MARDIN,838778,27395,32544,-5149
2019,MUGLA,983142,42987,36210,6777
2019,MUS,408809,13396,20063,-6667
2019,NEVSEHIR,303010,12571,11899,672
2019,NIGDE,362861,14055,20769,-6714
2019,ORDU,754198,25386,46640,-21254
2019,RIZE,343212,15946,23534,-7588
2019,SAKARYA,1029650,35941,31291,4650
2019,SAMSUN,1348542,45973,45020,953
2019,SIIRT,330280,11016,17252,-6236
2019,SINOP,218243,12926,15642,-2716
2019,SIVAS,638956,23572,36430,-12858
2019,TEKIRDAG,1055412,48911,38109,10802
2019,TOKAT,612747,39530,39567,-37
2019,TRABZON,808974,29603,37502,-7899
2019,TUNCELI,84660,6517,8179,-1662
2019,SANLIURFA,2073614,41841,60885,-19044
2019,USAK,370509,13117,12363,754
2019,VAN,1136757,34372,39575,-5203
2019,YOZGAT,421200,18009,25253,-7244
2019,ZONGULDAK,596053,19654,26251,-6597
2019,AKSARAY,416367,13689,15672,-1983
2019,BAYBURT,84843,9131,7882,1249
2019,KARAMAN,253279,10318,11075,-757
2019,KIRIKKALE,283017,12937,18854,-5917
2019,BATMAN,608659,20902,23325,-2423
2019,SIRNAK,529615,16365,20724,-4359
2019,BARTIN,198249,9423,10708,-1285
2019,ARDAHAN,97319,5164,7028,-1864
2019,IGDIR,199442,8650,9777,-1127
2019,YALOVA,270976,14531,12824,1707
2019,KARABUK,248458,14571,16485,-1914
2019,KILIS,142490,6515,8843,-2328
2019,OSMANIYE,538759,18126,21459,-3333
2019,DUZCE,392166,15454,14798,656
2018,ADANA,2220125,51660,70638,-18978
2018,ADIYAMAN,624513,22034,22897,-863
2018,AFYONKARAHISAR,725568,26976,25049,1927
2018,AGRI,539657,20091,29482,-9391
2018,AMASYA,337508,16760,15237,1523
2018,ANKARA,5503985,184382,221747,-37365
2018,ANTALYA,2426356,95920,80349,15571
2018,ARTVIN,174010,15934,8876,7058
2018,AYDIN,1097746,47005,36462,10543
2018,BALIKESIR,1226575,55238,40028,15210
2018,BILECIK,223448,11956,12597,-641
2018,BINGOL,281205,15770,12216,3554
2018,BITLIS,349396,17602,17398,204
2018,BOLU,311810,18307,14827,3480
2018,BURDUR,269926,15417,12537,2880
2018,BURSA,2994521,80940,80086,854
2018,CANAKKALE,540662,29473,21068,8405
2018,CANKIRI,216362,40460,12433,28027
2018,CORUM,536483,24363,20212,4151
2018,DENIZLI,1027782,28047,28906,-859
2018,DIYARBAKIR,1732396,43836,50822,-6986
2018,EDIRNE,411528,18792,17162,1630
2018,ELAZIG,595638,30152,24358,5794
2018,ERZINCAN,236034,19727,17511,2216
2018,ERZURUM,767848,32501,35431,-2930
2018,ESKISEHIR,871187,35995,32946,3049
2018,GAZIANTEP,2028563,44704,62206,-17502
2018,GIRESUN,453912,40358,25953,14405
2018,GUMUSHANE,162748,30333,22764,7569
2018,HAKKARI,286470,12756,10156,2600
2018,HATAY,1609856,36499,42655,-6156
2018,ISPARTA,441412,28789,19584,9205
2018,MERSIN,1814468,55779,61917,-6138
2018,ISTANBUL,15067724,385482,595803,-210321
2018,IZMIR,4320519,130092,117113,12979
2018,KARS,288878,14441,16620,-2179
2018,KASTAMONU,383373,27175,18397,8778
2018,KAYSERI,1389680,38690,48047,-9357
2018,KIRKLARELI,360860,16936,14745,2191
2018,KIRSEHIR,241868,15835,12144,3691
2018,KOCAELI,1906391,80457,79970,487
2018,KONYA,2205609,58300,60571,-2271
2018,KUTAHYA,577941,22582,20392,2190
2018,MALATYA,797036,36901,35234,1667
2018,MANISA,1429643,41189,39056,2133
2018,KAHRAMANMARAS,1144851,33619,33661,-42
2018,MARDIN,829195,30216,31738,-1522
2018,MUGLA,967487,52642,34302,18340
2018,MUS,407992,15742,20789,-5047
2018,NEVSEHIR,298339,13120,12315,805
2018,NIGDE,364707,22654,15676,6978
2018,ORDU,771932,54813,30152,24661
2018,RIZE,348608,31266,16413,14853
2018,SAKARYA,1010700,37659,32704,4955
2018,SAMSUN,1335716,53228,48543,4685
2018,SIIRT,331670,15017,15726,-709
2018,SINOP,219733,20922,9793,11129
2018,SIVAS,646608,45861,26271,19590
2018,TEKIRDAG,1029927,53895,41010,12885
2018,TOKAT,612646,46391,41326,5065
2018,TRABZON,807903,46593,33344,13249
2018,TUNCELI,88198,11211,5884,5327
2018,SANLIURFA,2035809,44448,56748,-12300
2018,USAK,367514,13691,13011,680
